
[KioskService] 🟢 2026-06-03T19:19:57.695Z | Kiosk WebSocket service running on port 3004
[KioskService] 🟢 2026-06-03T19:19:57.695Z | Transports: websocket, polling
[KioskService] 🟢 2026-06-03T19:19:57.695Z | REST endpoint: POST /api/push/:slug
[KioskService] 🟢 2026-06-03T19:19:57.695Z | CORS: all origins (gateway proxy mode)


[KioskService] 🟢 2026-06-03T19:23:13.854Z | Kiosk WebSocket service running on port 3004
[KioskService] 🟢 2026-06-03T19:23:13.854Z | Transports: websocket, polling
[KioskService] 🟢 2026-06-03T19:23:13.854Z | REST endpoint: POST /api/push/:slug
[KioskService] 🟢 2026-06-03T19:23:13.854Z | CORS: all origins (gateway proxy mode)

[KioskService] 📢 2026-06-03T19:23:15.789Z | REST broadcast-ad → ALL stations
